round,club,opponent,fixture
14,WOL,CAR,132
15,WOL,CHE,148
16,WOL,NEW,159
17,WOL,BOU,170
18,WOL,LIV,180
19,WOL,FUL,184
20,WOL,TOT,199
21,WOL,CRY,210
22,WOL,MCI,218
23,WOL,LEI,230
24,WOL,WHU,236
25,WOL,EVE,246
26,WOL,NEW,260
27,WOL,BOU,262
28,WOL,HUD,274
29,WOL,CAR,290
30,WOL,CHE,293
32,WOL,BUR,313
32,WOL,MUN,330
34,WOL,SOU,338
35,WOL,BHA,350
35,WOL,ARS,310
36,WOL,WAT,360
37,WOL,FUL,370
38,WOL,LIV,376
